Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:08, 23.56,  0.16,  0.06,  1.01, -1.97, -4.89, -2.96,  3.29,  8.97, -1.18,-16.26,-53.78; 30.95,  0.07,  0.04,  1.03, -1.07, -2.49,  1.65,  2.07,  4.18, -0.27,-11.62,  5.50
Uptime 00:00:08, 23.61,  0.17, -0.00,  1.02, -2.86,  4.80, -4.72, -0.10,  9.43, -1.51,-15.53,-54.37; 30.95,  0.04, -0.04,  1.02,  3.55, -0.97, -0.09, -2.42,  2.21,  0.13,-11.55,  5.49
Uptime 00:00:08, 23.56,  0.18,  0.01,  0.97, -0.54, -1.55, -5.01,  0.34, 10.72, -1.54,-15.62,-55.01; 31.00,  0.13, -0.04,  0.97, -4.04, -3.34, -1.55, -2.24,  7.37, -0.43,-11.88,  5.29
Uptime 00:00:08, 23.47,  0.14, -0.01,  0.96, -1.61,  4.62, -6.49, -0.32,  8.54, -1.71,-14.91,-55.83; 31.00,  0.08,  0.02,  1.01,  2.71, -2.49, -0.30,  1.26,  4.47, -0.06,-12.04,  5.25
Uptime 00:00:08, 23.56,  0.11,  0.04,  1.06, -0.28, -0.11, -4.39,  2.06,  6.07, -1.67,-14.75,-56.38; 31.05,  0.09, -0.00,  1.02,  0.25, -0.85, -1.95, -0.05,  4.88, -0.03,-12.01,  5.01
Uptime 00:00:09, 23.56,  0.08, -0.02,  0.98,  0.85,  0.80, -3.89, -1.18,  4.70, -1.55,-14.45,-56.88; 31.00,  0.09, -0.02,  1.01, -2.23,  1.96,  0.26, -1.37,  5.01, -0.34,-11.62,  5.04
Uptime 00:00:09, 23.61,  0.21, -0.01,  0.97, -4.42, -1.72, -6.41, -0.40, 12.46, -2.08,-14.62,-57.69; 31.09,  0.11, -0.01,  1.01,  1.49, -1.05, -1.00, -0.71,  6.13, -0.16,-11.64,  4.92
Uptime 00:00:09, 23.66,  0.14,  0.04,  1.00, -0.00,  1.11, -2.29,  2.00,  7.85, -2.00,-14.35,-57.98; 31.00,  0.06,  0.01,  1.02,  0.30,  4.93, -0.74,  0.60,  3.19, -0.11,-10.86,  4.82
Uptime 00:00:09, 23.52,  0.13, -0.01,  1.01, -3.18,  2.64, -4.13, -0.55,  7.24, -2.37,-13.87,-58.51; 31.00,  0.05, -0.04,  1.02,  0.74, -2.46, -1.72, -2.16,  3.02, -0.06,-11.01,  4.60
Uptime 00:00:09, 23.47,  0.15, -0.00,  0.91,  1.06,  0.04, -6.79, -0.23,  9.08, -2.19,-13.77,-59.36; 31.09,  0.08,  0.01,  0.98, -3.52, -0.36, -2.10,  0.33,  4.58, -0.48,-10.93,  4.34
